link_id,flow_pce_per_period,cost_min
1,0.0,0.199524
10,0.0,0.5099
10231,0.0,0.213514
10232,0.0,0.213514
10233,0.0,0.136588
10234,0.0,0.136588
10235,0.0,0.437635
10236,2.7897980104696383,0.22099206360853385
10237,0.0,0.220992
10238,0.0,0.28167
10239,0.0,0.28167
10240,0.0,0.339926
10241,0.0,0.172632
10242,0.0,0.172632
10243,0.0,0.701986
10244,0.0,0.123888
10245,0.0,0.092312
10246,0.0,0.184502
10247,0.0,0.1431586666666666
10248,0.09731355789423173,0.5061410000068772
10249,0.0,0.1030986666666666
10250,0.0,0.705716
10251,0.0,0.07791
10252,0.0,0.175078
10253,0.0,0.175078
10254,0.0,0.391024
10255,0.0,0.1807
10256,0.0,0.681192
10257,0.0,0.578786
10258,0.0,0.578786
10259,0.0,0.335494
10260,0.09731355789423173,0.5155920000070057
10261,0.0,0.340043
10262,0.0,0.688235
10427,0.0,0.108454
10428,0.0,0.108454
10429,0.0,0.165504
10430,0.0,0.165504
10431,0.0,0.393444
10432,0.0,0.393444
10436,0.0,0.1655146666666666
10437,0.0,0.163344
10438,0.0,0.2766986666666666
10605,0.0,0.017396
10606,0.0,0.109354
10607,0.0,0.109354
10608,0.0,0.068756
10609,0.0,0.0176733333333333
10636,0.0,0.209082
10637,0.0,0.209082
10638,0.0,0.1339586666666666
10639,0.0,0.3128453333333333
10640,0.0,0.1678946666666666
10641,0.0,0.1405653333333333
10642,0.0,0.184852
10643,0.0,0.085582
10644,0.0,0.085582
10645,0.0,0.179772
10646,0.0,0.046162
10647,0.0,0.046162
10648,0.0,0.112922
10649,0.0,0.112922
10650,0.0,0.054698
10651,0.0,0.02597
10652,0.0,0.0194853333333333
10653,0.0,0.07207
10654,0.0,0.07207
10655,0.0,0.128184
10656,0.0,0.128184
10671,0.0,0.142946
10672,0.0,0.142946
10673,0.0,0.015966
10674,0.0,0.015966
10675,0.0,0.051394
10676,0.0,0.051394
10677,0.0,0.063388
10678,0.0,0.063388
10679,0.0,0.057148
10680,0.0,0.021326
10681,0.0,0.0469
10682,0.0,0.0469
10687,0.0,0.011092
10688,0.0,0.011092
10859,0.0,0.151318
10860,0.0,0.151318
10861,0.0,0.082762
10862,0.0,0.082762
10863,0.0,0.076448
10864,0.0,0.076448
10911,0.0,0.111486
10912,0.0,0.111486
10913,0.0,0.087128
10914,0.0,0.087128
10915,0.0,0.171382
10916,0.0,0.171382
10917,0.0,0.034304
10918,0.0,0.034304
10919,0.0,0.007432
10920,0.0,0.007432
10921,0.0,0.355644
10922,0.0,0.355644
10923,0.0,0.2894719999999999
10924,0.0,0.1983893333333333
10925,0.0,0.0964786666666666
10940,0.0,0.066288
10941,0.0,0.03311
10942,0.0,0.03311
10943,0.0,0.044202
10944,0.0,0.044202
10945,0.0,0.095748
10946,0.0,0.082198
10947,0.0,0.082198
10952,0.0,0.2171333333333333
10953,0.0,0.352496
10954,0.0,0.352496
10955,0.0,0.169542
10956,0.0,0.169542
10957,0.0,0.111994
10958,0.0,0.111994
10959,0.0,0.1187499999999999
10960,0.0,0.1187499999999999
10961,0.0,0.05345
10962,0.0,0.05345
10963,0.0,0.036792
10964,0.0,0.036792
10965,0.0,0.040646
10966,0.0,0.040646
10967,0.0,0.099714
10968,0.0,0.099714
10969,0.0,0.130448
10970,0.0,0.130448
10971,0.0,0.012168
10972,0.0,0.012168
10973,0.0,0.074648
10974,0.0,0.074648
10975,0.0,0.137074
10976,0.0,0.122332
10977,0.0,0.122332
10978,0.0,0.04516
10979,0.0,0.04516
10980,0.0,0.130138
10981,0.0,0.121862
10982,0.0,0.121862
10983,0.0,0.071426
10984,0.0,0.071426
10985,0.0,0.050002
10986,0.0,0.050002
10987,0.0,0.147652
10988,0.0,0.095116
10989,0.0,0.095116
10990,0.0,0.035914
10991,0.0,0.191618
10992,2.7897980104696383,0.19161805515376143
10993,2.433513851612647,0.7133821562367171
10994,0.0,0.593396
10995,13.224883030217942,0.15330143806780486
10996,0.0,0.745848
10997,0.0,0.3377133333333333
10998,0.0,0.3377133333333333
10999,0.0,0.238448
11,0.0,0.5099
11000,0.0,0.82555
11001,0.0,0.1858373333333333
11002,0.0,0.1858373333333333
11003,0.0,0.32159
11004,0.0,0.32159
11005,0.0,0.088562
11006,0.0,0.088562
11007,0.0,0.274148
11008,0.09731355789423173,0.3846980000052271
11043,0.0,0.289218
11044,0.0,0.289218
11045,0.0,0.153016
11046,0.0,0.153016
11051,0.0,0.165764
11052,0.0,0.165764
11053,0.0,0.134658
11054,0.0,0.134658
11055,0.0,0.068138
11056,0.0,0.068138
11069,0.0,0.142008
11070,0.0,0.142008
11071,0.0,0.108684
11072,0.0,0.108684
11073,0.0,0.08328
11074,0.0,0.08328
11075,0.0,0.106372
11076,0.0,0.106372
11085,0.0,0.010334
11086,0.0,0.010334
11087,0.0,0.065544
11088,0.0,0.065544
11093,0.0,0.063232
11094,0.0,0.063232
11095,0.0,0.213078
11096,0.0,0.213078
11097,0.0,0.135932
11098,0.0,0.135932
11099,0.0,0.114022
11100,0.0,0.114022
11101,0.0,0.108708
11102,0.0,0.108708
11103,0.0,0.137908
11104,0.0,0.137908
11105,0.0,0.444596
11106,0.0,0.444596
11107,0.0,0.111336
11108,0.0,0.111336
11109,0.0,0.0813173333333333
11110,0.0,0.0813173333333333
11111,0.0,0.235076
11112,0.0,0.235076
11113,0.0,0.1224079999999999
11114,0.0,0.1224079999999999
11115,0.0,0.0178733333333333
11116,0.0,0.0178733333333333
11117,0.0,0.04072
11118,0.0,0.0443986666666666
11119,2.433513851612647,0.4586521004486836
11120,57.40921173680239,0.5538134942976491
11121,0.0,0.18973
11122,0.0,0.0719533333333333
11123,0.0,0.0882266666666666
11124,2.7897980104696383,0.24430400742738836
11173,0.0,0.1246719999999999
11174,0.0,0.1053173333333333
11175,0.0,0.0375253333333333
11176,2.433513851612647,0.2118180463899411
11177,0.0,0.0642306666666666
11178,0.0,0.437514
11179,0.16591106005168288,0.43751400044538535
